dataset,model_size,milestone,vocab_size,seed,task,acc
tinystories,60m,25,8000,0,adjunct_island,0.641
tinystories,60m,25,8000,0,anaphor_gender_agreement,0.621
tinystories,60m,25,8000,0,anaphor_number_agreement,0.639
tinystories,60m,25,8000,0,animate_subject_passive,0.45
tinystories,60m,25,8000,0,animate_subject_trans,0.422
tinystories,60m,25,8000,0,causative,0.491
tinystories,60m,25,8000,0,complex_np_island,0.551
tinystories,60m,25,8000,0,coordinate_structure_constraint_complex_left_branch,0.401
tinystories,60m,25,8000,0,coordinate_structure_constraint_object_extraction,0.568
tinystories,60m,25,8000,0,determiner_noun_agreement_1,0.593
tinystories,60m,25,8000,0,determiner_noun_agreement_2,0.526
tinystories,60m,25,8000,0,determiner_noun_agreement_irregular_1,0.547
tinystories,60m,25,8000,0,determiner_noun_agreement_irregular_2,0.561
tinystories,60m,25,8000,0,determiner_noun_agreement_with_adj_2,0.488
tinystories,60m,25,8000,0,determiner_noun_agreement_with_adj_irregular_1,0.574
tinystories,60m,25,8000,0,determiner_noun_agreement_with_adj_irregular_2,0.561
tinystories,60m,25,8000,0,determiner_noun_agreement_with_adjective_1,0.538
tinystories,60m,25,8000,0,distractor_agreement_relational_noun,0.366
tinystories,60m,25,8000,0,distractor_agreement_relative_clause,0.394
tinystories,60m,25,8000,0,drop_argument,0.711
tinystories,60m,25,8000,0,ellipsis_n_bar_1,0.316
tinystories,60m,25,8000,0,ellipsis_n_bar_2,0.306
tinystories,60m,25,8000,0,existential_there_object_raising,0.579
tinystories,60m,25,8000,0,existential_there_quantifiers_1,0.728
tinystories,60m,25,8000,0,existential_there_quantifiers_2,0.106
tinystories,60m,25,8000,0,existential_there_subject_raising,0.44
tinystories,60m,25,8000,0,expletive_it_object_raising,0.587
tinystories,60m,25,8000,0,inchoative,0.461
tinystories,60m,25,8000,0,intransitive,0.577
tinystories,60m,25,8000,0,irregular_past_participle_adjectives,0.6
tinystories,60m,25,8000,0,irregular_past_participle_verbs,0.945
tinystories,60m,25,8000,0,irregular_plural_subject_verb_agreement_1,0.529
